,no,title,content,writer,hit,create_at
0,1,제목,내용1,작성자,101,2026-04-27 10:30:49
1,2,변경1,변경2,변경3,103,2026-04-27 11:10:52
2,3,제목,내용3,작성자,101,2026-04-27 11:10:54
3,4,제목,내용4,작성자,101,2026-04-27 11:10:56
4,5,제목변경,내용변경,변경자2,114,2026-04-27 11:10:57
5,6,제목,내용6,작성자,101,2026-04-27 11:10:59
6,7,제목,내용7,작성자,101,2026-04-27 11:11:00
7,8,제목,내용8,작성자,101,2026-04-27 11:11:01
8,9,제목,내용9,작성자,101,2026-04-27 11:11:03
9,10,Welcome to our store!,We are happy to have you here. Browse our items and enjoy.,Admin,150,2026-04-27 16:30:55
10,11,Summer Sale Announcement,Get up to 50% off on selected items this summer!,Manager,320,2026-04-27 16:30:55
11,12,Customer Feedback Wanted,Please let us know how we can improve your shopping experience.,Support,45,2026-04-27 16:30:55
12,13,신규 가입 이벤트 안내,"지금 가입하시면 10,000원 쿠폰을 드립니다! 많은 참여 부탁드려요.",마케팅팀,1240,2026-04-27 16:30:55
13,14,배송 지연 공지,최근 기록적인 폭우로 인해 일부 지역의 배송이 1~2일 지연될 수 있습니다.,물류센터,890,2026-04-27 16:30:55
14,15,Q&A: 결제 수단 추가,네이버페이와 카카오페이 결제가 가능한가요?,김민준,115,2026-04-27 16:44:01
15,16,Review: iPhone 15 Pro,The camera is just incredible. Best smartphone of the year.,TechGuru,560,2026-04-27 16:44:01
16,17,공지: 포인트 소멸 안내,2025년 적립된 포인트가 이번 달 말일에 소멸될 예정입니다.,시스템,4200,2026-04-27 16:44:01
17,18,Event: 포토 리뷰 콘테스트,리뷰를 남겨주시는 분들 중 추첨을 통해 아이패드를 드립니다!,마케팅팀,780,2026-04-27 16:44:01
18,19,FAQ: 환불 규정,단순 변심에 의한 환불은 수령 후 7일 이내에만 가능합니다.,CS팀,210,2026-04-27 16:44:01
19,20,제목foo,내용bar,글쓴이wat,1,2026-04-28 15:09:53
